pincode,city,state
122508,Gurgaon,Haryana
125048,Hissar,Haryana
127308,Bhiwani,Haryana
125102,Hissar,Haryana
133008,Ambala,Haryana
125078,Hissar,Haryana
125103,Hissar,Haryana
123024,Gurgaon,Haryana
125054,Hissar,Haryana
125075,Hissar,Haryana
125077,Hissar,Haryana
127043,Bhiwani,Haryana
171004,Shimla,Himachal Pradesh
171202,Shimla,Himachal Pradesh
171220,Shimla,Himachal Pradesh
173032,Solan,Himachal Pradesh
174029,Hamirpur,Himachal Pradesh
122108,Gurgaon,Haryana
125101,Hissar,Haryana
126110,Karnal,Haryana
126111,Karnal,Haryana
127307,Bhiwani,Haryana
136026,Kurukshetra,Haryana
172034,Rampur Bushahr,Himachal Pradesh
174013,Hamirpur,Himachal Pradesh
174024,Hamirpur,Himachal Pradesh
125060,Hissar,Haryana
125058,Hissar,Haryana
171212,Shimla,Himachal Pradesh
171213,Shimla,Himachal Pradesh
171226,Shimla,Himachal Pradesh
173027,Solan,Himachal Pradesh
174036,Hamirpur,Himachal Pradesh
835223,Ranchi,Jharkhand
832304,Singhbhum,Jharkhand
832101,Singhbhum,Jharkhand
171206,Shimla,Himachal Pradesh
829208,Palamau,Jharkhand
829127,Giridih,Jharkhand
829111,Giridih,Jharkhand
828402,Dhanbad,Jharkhand
828135,Dhanbad,Jharkhand
172101,Rampur Bushahr,Himachal Pradesh
174012,Hamirpur,Himachal Pradesh
828113,Dhanbad,Jharkhand
174302,Una,Himachal Pradesh
174307,Una,Himachal Pradesh
174503,Una,Himachal Pradesh
125104,Hissar,Haryana
125112,Hissar,Haryana
826006,Dhanbad,Jharkhand
127026,Bhiwani,Haryana
176025,Dehra Gopipur,Himachal Pradesh
176058,Dharamsala,Himachal Pradesh
176090,Mandi,Himachal Pradesh
176115,Dharamsala,Himachal Pradesh
177101,Dehra Gopipur,Himachal Pradesh
174004,Hamirpur,Himachal Pradesh
816116,Santhal Parganas,Jharkhand
174027,Hamirpur,Himachal Pradesh
175007,Mandi,Himachal Pradesh
136033,Kurukshetra,Haryana
175021,Mandi,Himachal Pradesh
175023,Mandi,Himachal Pradesh
176026,Dehra Gopipur,Himachal Pradesh
176029,Dehra Gopipur,Himachal Pradesh
176044,Hamirpur,Himachal Pradesh
176054,Dehra Gopipur,Himachal Pradesh
176083,Dharamsala,Himachal Pradesh
176089,Dharamsala,Himachal Pradesh
176095,Dharamsala,Himachal Pradesh
176211,Dharamsala,Himachal Pradesh
177001,Hamirpur,Himachal Pradesh
177020,Hamirpur,Himachal Pradesh
177042,Hamirpur,Himachal Pradesh
177103,Dehra Gopipur,Himachal Pradesh
177107,Dehra Gopipur,Himachal Pradesh
177220,Una,Himachal Pradesh
171203,Shimla,Himachal Pradesh
172201,Rampur Bushahr,Himachal Pradesh
173236,Solan,Himachal Pradesh
174316,Una,Himachal Pradesh
175015,Mandi,Himachal Pradesh
175033,Mandi,Himachal Pradesh
175036,Mandi,Himachal Pradesh
204212,Aligarh,Uttar Pradesh
206129,Etawah,Uttar Pradesh
206250,Etawah,Uttar Pradesh
207002,Etah,Uttar Pradesh
207302,Etah,Uttar Pradesh
209860,Kanpur Moffusil,Uttar Pradesh
174002,Hamirpur,Himachal Pradesh
174033,Hamirpur,Himachal Pradesh
174201,Hamirpur,Himachal Pradesh
175012,Mandi,Himachal Pradesh
175101,Mandi,Himachal Pradesh
176047,Dehra Gopipur,Himachal Pradesh
176088,Dharamsala,Himachal Pradesh
210423,Banda,Uttar Pradesh
211020,Allahabad,Uttar Pradesh
174005,Hamirpur,Himachal Pradesh
174032,Hamirpur,Himachal Pradesh
174034,Hamirpur,Himachal Pradesh
221308,Varanasi West,Uttar Pradesh
221601,Azamgarh,Uttar Pradesh
221709,Ballia,Uttar Pradesh
224189,Faizabad,Uttar Pradesh
224206,Faizabad,Uttar Pradesh
224228,Faizabad,Uttar Pradesh
224232,Faizabad,Uttar Pradesh
227304,Sultanpur,Uttar Pradesh
227413,Sultanpur,Uttar Pradesh
228132,Sultanpur,Uttar Pradesh
174317,Una,Himachal Pradesh
175048,Mandi,Himachal Pradesh
770076,Sundargarh,Odisha
770013,Sundargarh,Odisha
768226,Sambalpur,Odisha
768216,Sambalpur,Odisha
176055,Dehra Gopipur,Himachal Pradesh
176075,Dharamsala,Himachal Pradesh
176087,Dharamsala,Himachal Pradesh
847202,Darbhanga,Goa
176207,Chamba,Himachal Pradesh
176215,Dharamsala,Himachal Pradesh
171221,Shimla,Himachal Pradesh
768109,Sambalpur,Odisha
767067,Balangir,Odisha
766104,Kalahandi,Odisha
764078,Koraput,Odisha
764058,Koraput,Odisha
763002,Koraput,Odisha
761151,Aska,Odisha
761045,Berhampur,Odisha
761020,Berhampur,Odisha
761010,Berhampur,Odisha
761006,Berhampur,Odisha
174308,Una,Himachal Pradesh
759020,Dhenkanal,Odisha
175025,Mandi,Himachal Pradesh
175026,Mandi,Himachal Pradesh
175046,Mandi,Himachal Pradesh
175121,Mandi,Himachal Pradesh
176028,Dehra Gopipur,Himachal Pradesh
758015,Keonjhar,Odisha
176053,Dehra Gopipur,Himachal Pradesh
176073,Dharamsala,Himachal Pradesh
757102,Mayurbhanj,Odisha
757100,Mayurbhanj,Odisha
176097,Dharamsala,Himachal Pradesh
209821,Kanpur Moffusil,Uttar Pradesh
209869,Kanpur Moffusil,Uttar Pradesh
210203,Banda,Uttar Pradesh
223221,Azamgarh,Uttar Pradesh
224209,Faizabad,Uttar Pradesh
224210,Faizabad,Uttar Pradesh
224225,Faizabad,Uttar Pradesh
177202,Una,Himachal Pradesh
177212,Una,Himachal Pradesh
177213,Una,Himachal Pradesh
177023,Hamirpur,Himachal Pradesh
177203,Una,Himachal Pradesh
835232,Ranchi,Jharkhand
835225,Ranchi,Jharkhand
835102,Ranchi,Jharkhand
206247,Etawah,Uttar Pradesh
177031,Una,Himachal Pradesh
177034,Dehra Gopipur,Himachal Pradesh
177108,Dehra Gopipur,Himachal Pradesh
177204,Una,Himachal Pradesh
832112,Singhbhum,Jharkhand
177219,Una,Himachal Pradesh
829144,Giridih,Jharkhand
829112,Giridih,Jharkhand
207248,Etah,Uttar Pradesh
209602,Fatehgarh,Uttar Pradesh
209625,Fatehgarh,Uttar Pradesh
209721,Fatehgarh,Uttar Pradesh
227814,Sultanpur,Uttar Pradesh
210208,Banda,Uttar Pradesh
230304,Pratapgarh,Uttar Pradesh
230402,Pratapgarh,Uttar Pradesh
231501,Mirzapur,Uttar Pradesh
232331,Ghazipur,Uttar Pradesh
828404,Giridih,Jharkhand
828401,Dhanbad,Jharkhand
828201,Dhanbad,Jharkhand
828119,Dhanbad,Jharkhand
202131,Aligarh,Uttar Pradesh
202142,Aligarh,Uttar Pradesh
202155,Aligarh,Uttar Pradesh
176218,Dharamsala,Himachal Pradesh
176219,Dharamsala,Himachal Pradesh
176225,Dharamsala,Himachal Pradesh
177106,Dehra Gopipur,Himachal Pradesh
177111,Dehra Gopipur,Himachal Pradesh
833221,Singhbhum,Jharkhand
205247,Mainpuri,Uttar Pradesh
206002,Etawah,Uttar Pradesh
206123,Etawah,Uttar Pradesh
206130,Etawah,Uttar Pradesh
206241,Etawah,Uttar Pradesh
209622,Fatehgarh,Uttar Pradesh
224231,Faizabad,Uttar Pradesh
224284,Faizabad,Uttar Pradesh
210121,Banda,Uttar Pradesh
